chemical_name,protein_name
gold sodium thiomalate,M01CB01
ximelagatran,B01AE05
guanoxabenz,C02CC07
auranofin,M01CB03
bismuth subcitrate,A02BX05
tegaserod,A03AE02
ferrous fumarate,B03AA02 B03AD02
progabide,N03AG05
sulfasalazine,A07EC01
sulprostone,G02AD05
montelukast,R03DC03
iloprost,B01AC11
eptifibatide,B01AC16
acipimox,C10AD06
alcuronium,M03AA01
lornoxicam,M01AC05
diosmetin,
dacarbazine,L01AX04
4-methylumbelliferone,A05AX02
remikiren,C09XA01
tolcapone,N04BX01
hydroxocobalamin,B03BA03 V03AB33
rosuvastatin,C10AA07
ergometrine,G02AB03
misoprostol,A02BB01
adrafinil,N06BX17
thioguanine,
methimazole,H03BB02
benzylthiouracil,H03BA03
mercaptopurine,L01BB02
picotamide,B01AC03
propylthiouracil,H03BA02
deferiprone,V03AC02
ciclesonide,R03BA08
adenosylcobalamin,B03BA04
hydrocodone,R05DA03
lanreotide,H01CB03
melagatran,B01AE04
fondaparinux sodium,B01AX05
colesevelam hydrochloride,C10AC04
xamoterol,C01CX07
lumiracoxib,M01AH06
aprepitant,A04AD12
ezetimibe,C10AX09
eplerenone,C03DA04
SR 57746A,N07XX03
desloratadine,R06AX27
gefitinib,L01XE02
mometasone,D07AC13 D07XC03 R01AD09 R03BA07
etoricoxib,M01AH05
Ras,N04BD02
FP-CIT,V09AB03
valdecoxib,M01AH03
nitisinone,A16AX04
epomediol,A05BA05
tadalafil,G04BE08
beta-acetyldigoxin,C01AA02
bosentan,C02KX01
fotemustine,L01AD05
fulvestrant,L02BA03
tiazofurin,L01XX18
bortezomib,L01XX32
zofenopril,C09AA15
spirapril,C09AA11
roxatidine,A02BA06
moexipril,C09AA13
allopurinol,M04AA01
rosiglitazone,A10BG02
eletriptan,N02CC06
tritoqualine,R06AX21
terlipressin,H01BA04
niaprazine,N05CM16
LINK,A02AD03
carbetocin,H01BB03
UK-738,N04AC30
phenamine,
Triton WR-1339,R05CA01
dofetilide,C01BD04
nebivolol,C07AB12
ropivacaine,N01BB09
acamprosate,N07BB03
alphaxalone,N01AX05
cloricromene,B01AC02
brinzolamide,S01EC04
nomegestrol,G03DB04
budipine,N04BX03
talinolol,C07AB13
zoledronic acid,M05BA08
lacidipine,C08CA09
rilmenidine,C02AC06
atosiban,G02CX01
ibopamine,C01CA16 S01FB03
gallamine,M03AC02
moxestrol,G03CB04
cortivazol,H02AB17
telmisartan,C09CA07
mizolastine,R06AX25
Cardiovasc,C08CA13
reboxetine,N06AX18
milnacipran,N06AX17
etofibrate,C10AB09
erdosteine,R05CB15
capecitabine,L01BC06
eprosartan,C09CA02
levosimendan,C01CX08
olopatadine,R01AC08 S01GX09
ziprasidone,N05AE04
pemetrexed,L01BA04
tiotropium,R03BB04
remifentanil,N01AH06
aripiprazole,N05AX12
tenidap,M01AX23
mibefradil,C08CX01
acetorphan,A07XA04
exemestane,L02BG06
perindopril,C09AA04
adapalene,D10AD03
sertindole,N05AE03
tamsulosin,G04CA02
imiquimod,D06BB10
iopentol,V08AB08
acrivastine,R06AX18
quinagolide,G02CB04
dopexamine,C01CA14
deoxyspergualin,L04AA19
Linomide,L03AX02
cicletanine,C03BX03
atomoxetine,N06BA09
bambuterol,R03CC12
simvastatin,C10AA01
TOL,A10XA01
flupirtine,N02BG07
remoxipride,N05AL04
N-butyldeoxynojirimycin,A16AX06
miglitol,A10BF02
alfentanil,N01AH02
nedocromil sodium,R01AC07 R03BC03 S01GX04
pipecuronium,M03AC06
encainide,C01BC08
nicorandil,C01DX16
atracurium,M03AC04
indobufen,B01AC10
bopindolol,C07AA17
prenalterol,C01CA13
torasemide,C03CA04
acarbose,A10BF01
sufentanil,N01AH03
acitretin,D05BB02
Implanon,G03AC08
desogestrel,G03AC09
pinaverium bromide,A03AX04
benoxaprofen,M01AE06
5-methylpyrazinecarboxylic acid 4-oxide,
nabilone,A04AD11
bezafibrate,C10AB02
tienilic acid,C03CC02
tertatolol,C07AA16
dobutamine,C01CA07
promegestone,G03DB07
etomidate,N01AX07
toloxatone,N06AG03
oxcarbazepine,N03AF02
penfluridol,N05AG03
indoramin,C02CA02
polyinosinic-polycytidylic acid,L03AX07
ritodrine,G02CA01
metipranolol,S01ED04
fludrocortisone,H02AA02
lofexidine,N07BC04
dexrazoxane,V03AF02
mithramycin,L01DC02
methadol,
Fe(II)-EDTA,B03AB03
DDAVP,H01BA02
gestrinone,G03XA02
pizotifen,N02CX01
deflazacort,H02AB13
diacerein,M01AX21
azapropazone,M01AX04
rose bengal,
chloropyramine,D04AA09 R06AC03
molindone,N05AE02
trimethaphan,C02BA01
tiadenol,C10AX03
dimethindene,D04AA13 R06AB03
dexetimide,N04AA08
octyl methoxycinnamate,D02BA02
trimetazidine,C01EB15
iproclozide,N06AF06
estramustine,L01XX11
acadesine,C01EB13
flupenthixol,N05AF01
pimozide,N05AG02
amiloride,C03DB01
melperone,N05AD03
propanidid,N01AX04
phenazocine,N02AD02
canrenone,C03DA03
vinblastine,L01CA01
benzydamine,A01AD02 G02CC03 M01AX07 M02AA05
phenindamine,R06AX04
tromexan,B01AA08
chlormethiazole,N05CM02
sedormid,N05CM12
medroxyprogesterone,G03AC06 G03DA02 L02AB02
echothiophate,S01EB03
GHB,
mersalyl,C03BC01
dithranol,D05AC01
propoxyphene,N02AC04
MGB,L01XX16
phenprocoumon,B01AA04
19-nortestosterone,A14AB01 S01XA11
prenylamine,C01DX02
triflusal,B01AC18
paraoxon,S01EB10
acenocoumarol,B01AA07
methohexital,N01AF01 N05CA15
4-hydroxyanisole,D11AX06
betazole,V04CG02
Ronicol,C04AC02 C10AD05
benzoyl peroxide,D10AE01
synephrine,C01CA08 S01GA06
brompheniramine,R06AB06 R06AB01
warfarin,B01AA03
TCE,N01AB05
Tris buffer,B05BB03 B05XX02
chloroform,N01AB02
diiodotyrosine,H03BX01
dipalmitoylphosphatidylcholine,R07AA01
gold thioglucose,M01CB04
methoxamine,C01CA10
cysteamine,A16AA04
tetrabenazine,N05AK01
aminopyrine,
vincristine,L01CA02
chlorobutanol,A04AD04
diisopropylfluorophosphate,S01EB07
pentylenetetrazol,R07AB03
oxandrolone,A14AA08
lynestrenol,G03AC02 G03DC03
phentolamine,C04AB01 G04BE05
oxyphenonium,A03AB03
mitomycin C,L01DC03
zotepine,N05AX11
zonisamide,N03AX15
zomepirac,M01AB04
zolpidem,N05CF02
zolmitriptan,N02CC03
zaleplon,N05CF03
zafirlukast,R03DC01
voglibose,A10BF03
vinorelbine,L01CA04
vigabatrin,N03AG04
venlafaxine,N06AX16
valsartan,C09CA03
urapidil,C02CA06
unoprostone,S01EE02
trospium chloride,G04BD09
tropisetron,A04AA03
tropicamide,S01FA06
troglitazone,A10BG01
triprolidine,R06AX07
tripelennamine,D04AA04 R06AC04
trimipramine,N06AA06
trimetoquinol,R03AC09 R03CC09
trimeprazine,R06AD01
trimebutine,A03AA05
trihexyphenidyl,N04AA01
triflupromazine,N05AA05
trifluoperazine,N05AB06
triazolam,N05CD05
triamcinolone,A01AC01 D07AB09 D07XB02 H02AB08 R01AD11 R03BA06 S01BA05
trazodone,N06AX05 A06AC07
trapidil,C01DX11
tPA,N06AF04
tranexamic acid,B02AA02
trandolapril,C09AA10
tramazoline,R01AA09
tramadol,N02AX02
toremifene,L02BA02
topotecan,L01XX17
topiramate,N03AX11
tolterodine,G04BD07
tolmetin,M01AB03 M02AA21
tolfenamic acid,M01AG02
tolbutamide,A10BB03 V04CA01
tolazoline,C04AB02 M02AX02
tizanidine,M03BX02
tirofiban,B01AC17
timolol,C07AA06 S01ED01
ticlopidine,B01AC05
tibolone,G03DC05
tiaprofenic acid,M01AE11
tiapride,N05AL03
tiagabine,N03AG06
thiothixene,N05AF04
thioridazine,N05AC02
theobromine,C03BD01 R03DA07
thalidomide,L04AX02
tetracaine,C05AD02 D04AB06 N01BA03 S01HA03
terfenadine,R06AX12
terbutaline,R03AC03 R03CC03
terazosin,G04CA03
tenoxicam,M01AC02
teniposide,L01CB02
temozolomide,L01AX03
temocapril,C09AA14
tegafur,L01BC03
tazarotene,D05AX05
tamoxifen,L02BA01
tacrolimus,D11AX14 L04AA05
suprofen,M01AE07
sumatriptan,N02CC01
sulpiride,N05AL07 N05AL01
sulindac,M01AB02
sulfobromophthalein,V04CE02
sulfinpyrazone,M04AB02
succinylcholine,M03AB01
streptozotocin,L01AD04
imatinib,L01XE01
stanozolol,A14AA02
spironolactone,C03DA01
sotalol,C07AA07
risedronate,M05BA07
3-morpholinosydnonimine,C01DX18
silymarin,A05BA03
sildenafil,G04BE03
sibutramine,A08AA10
sevoflurane,N01AB08
sertraline,N06AB06
selegiline,N04BD01
secobarbital,N05CA06
scopolamine,A04AD01 N05CM05 S01FA02
salmeterol,R03AC12
ropinirole,N04BC04
rofecoxib,M01AH02
rivastigmine,N06DA03
risperidone,N05AX08
riluzole,N07XX02
reserpine,C02AA02
rapamycin,L04AA10
ranitidine,A02BA02
ramipril,C09AA05
raloxifene,G03XC01
ephedrine,R01AA03 R01AB05 R03CA02 S01FB02 R01BA02
rabeprazole,A02BC04
quinapril,C09AA06
quetiapine,N05AH04
mepyramine,D04AA02 R06AC01
pyridostigmine,N07AA02
propranolol,C07AA05
propofol,N01AX10
P-4,G04BD06
propentofylline,N06BC02
propantheline,A03AB05
propafenone,C01BC03
promethazine,D04AA10 R06AD02
promazine,N05AA03
proglumide,A02BX06
procyclidine,N04AA04
prochlorperazine,N05AB04
procaterol,R03AC16 R03CC08
procaine,C05AD05 N01BA02 S01HA05
procainamide,C01BA02
probucol,C10AX02
probenecid,M04AB01
prednisone,A07EA03 H02AB07
prednisolone,A07EA01 C05AA04 D07AA03 D07XA02 H02AB06 R01AD02 S01BA04 S01CB02 S02BA03 S03BA02
prazosin,C02CA01
pravastatin,C10AA03
pranlukast,R03DC02
pramipexole,N04BC05
practolol,C07AB01
piroxicam,M01AC01 M02AA07 S01BC06
pirenzepine,A02BX03
pirbuterol,R03AC08 R03CC07
pirarubicin,L01DB08
pioglitazone,A10BG03
pindolol,C07AA03
pinacidil,C02DG01
pilocarpine,N07AX01 S01EB01
physostigmine,S01EB05 V03AB19
moxonidine,C02AC05
phenylpropanolamine,A08AA07 R01BA01
phenylephrine,C01CA06 R01AA04 R01AB01 R01BA03 S01FB01 S01GA05
phenylbutazone,M01AA01 M02AA01
phentermine,A08AA01
phenoxybenzamine,C04AX02
phenol red,V04CH03
phenobarbital,N03AA02
pheniramine,R06AB05
phenacetin,N02BE03
perphenazine,N05AB03
perhexiline,C08EX02
pergolide,N04BC02
perazine,N05AB10
pentoxifylline,C04AD03
DCF,L01XX08
pentobarbital,N05CA01
pentazocine,N02AD01
D-penicillamine,M01CC01
paroxetine,N06AB05
pargyline,C02KC01
papaverine,A03AD01 G04BE02
pantoprazole,A02BC02
pantethine,A11HA32
oxyphencyclimine,A03AA01
oxyphenbutazone,M01AA03 M02AA04 S01BC02
oxymetazoline,R01AA05 R01AB07 S01GA04
oxycodone,N02AA05
oxybutynin,G04BD04
oxaprozin,M01AE12
ouabain,C01AC01
orphenadrine,M03BC01 N04AB02
orlistat,A08AB01
ondansetron,A04AA01
olanzapine,N05AH03
octopamine,C01CA18
repaglinide,A10BX02
nortriptyline,N06AA10
norethisterone,G03AC01 G03DC02
nordihydroguaiaretic acid,L01XX10
nomifensine,N06AX04
nizatidine,A02BA04
nitroglycerin,C01DA02 D03AX07
nitrendipine,C08CA08
nisoldipine,C08CA07
nimodipine,C08CA06
nimesulide,M01AX17
nilvadipine,C08CA10
nilutamide,L02BB02
niflumic acid,M01AX02 M02AA17
nifedipine,C08CA05
niceritrol,C10AD01
nicergoline,C04AE02
nialamide,N06AF02
neostigmine,N07AA01 S01EB06
nefazodone,N06AX06
naratriptan,N02CC02
naphazoline,R01AA08 R01AB02 S01GA01
naltrexone,N07BB04
nalbuphine,N02AF02
nadolol,C07AA12
nabumetone,M01AX01
MOA,
mosapramine,N05AX10
morphine,N02AA01
modafinil,N06BA07
moclobemide,N06AG02
mitoxantrone,L01DB07
mirtazapine,N06AX11
minoxidil,C02DC01 D11AX01
minaprine,N06AX07
milrinone,C01CE02
mifepristone,G03XB01
midodrine,C01CA17
midazolam,N05CD08
mianserin,N06AX03
mexiletine,C01BB02
metyrapone,V04CD01
metoprolol,C07AB02
metoclopramide,A03FA01
methysergide,N02CA04
methyltestosterone,G03BA02 G03EK01
methylprednisolone,D07AA01 D10AA02 H02AB04
methylphenidate,N06BA04
methyldopa,C02AB01 C02AB02
methylscopolamine,A03BB03 S01FA03
methoxyflurane,N01AB03
8-methoxypsoralen,D05AD02 D05BA02
methotrexate,L01BA01 L04AX03
methazolamide,S01EC05
methadone,N07BC02
metformin,A10BA02
metergoline,G02CB05
metaraminol,C01CA09
metaproterenol,R03AB03 R03CB03
mesoridazine,N05AC03
5-aminosalicylic acid,A07EC02
mequitazine,R06AD07
mephenytoin,N03AB04
meperidine,N02AB02
memantine,N06DX01
melphalan,L01AA03
meloxicam,M01AC06
mefenamic acid,M01AG01
meclofenamate,M01AG04 M02AA18
monamine,R06AE05
mecamylamine,C02BB01
mazindol,A08AA05
maprotiline,N06AA21
manidipine,C08CA11
sparteine,C01BA04
loxapine,N05AH01
lovastatin,C10AA02
losartan,C09CA01
lorazepam,N05BA06
loratadine,R06AX13
loperamide,A07DA03
lisuride,G02CB02 N02CA07
linopirdine,N06BX09
levomepromazine,N05AA02
levocabastine,R01AC02 S01GX02
letrozole,L02BG04
latanoprost,S01EE01
lansoprazole,A02BC03
lamotrigine,N03AX09
lafutidine,A02BA08
labetalol,C07AG01
ketotifen,R06AX17 S01GX08
ketorolac,M01AB15 S01BC05
ketoprofen,M01AE17 M01AE03 M02AA10
ketanserin,C02KD01
ketamine,N01AX14 N01AX03
isradipine,C08CA03
isoproterenol,C01CA02 R03AB02 R03CB01
isoflurane,N01AB06
isocarboxazid,N06AF01
irinotecan,L01XX19
irbesartan,C09CA04
iproniazid,N06AF05
ipratropium bromide,R01AX03 R03BB01
ioxilan,V08AB12
iodipamide,V08AC04
iopanoic acid,V08AC06
iohexol,V08AB02
indoprofen,M01AE10
indomethacin,C01EB03 M01AB01 M02AA23 S01BC01
indapamide,C03BA11
imipramine,N06AA02
imidapril,C09AA16
ifosfamide,L01AA06
ifenprodil,C04AX28
idebenone,N06BX13
idarubicin,L01DB06
lidocaine,C01BB01 C05AD01 D04AB01 N01BB02 R02AD02 S01HA07 S02DA01
phenelzine,N06AF03
ibuprofen,C01EB16 G02CC01 M01AE01 M02AA13 M01AE14
atropine,A03BA03 V03AB14 A03BA01 S01FA01
hydroxyzine,N05BB01
hydroxyurea,L01XX05
hydromorphone,N02AA03
hydrochlorothiazide,C03AA03
hydralazine,C02DB02
homatropine,S01FA05
hexoprenaline,R03AC06 R03CC05
hexobarbital,N01AF02 N05CA16
miltefosine,L01XX09
heroin,N02AA09
halothane,N01AB01
haloperidol,N05AD01
fasudil,C04AX32
guanfacine,C02AC02
guanethidine,C02CC02 S01EX01
granisetron,A04AA02
glycopyrrolate,A03AB02
glibenclamide,A10BB01
glipizide,A10BB07
glimepiride,A10BB12
gliclazide,A10BB09
gemfibrozil,C10AB04
gemcitabine,L01BC05
gamma-linolenic acid,D11AX02
galantamine,N06DA04
gabapentin,N03AX12
furosemide,C03CA01
fosinopril,C09AA09
4-hydroxyandrostenedione,L02BG02
fluvoxamine,N06AB08
fluvastatin,C10AA04
fluticasone propionate,
flutamide,L02BB01
fluspirilene,N05AG01
flurbiprofen,M01AE09 M02AA19 S01BC04
flurazepam,N05CD01
fluoxymesterone,G03BA01
fluoxetine,N06AB03
5-fluorouracil,L01BC02
fluocinolone acetonide,C05AA10 D07AC04 S01BA15
flunitrazepam,N05CD03
flunisolide,R01AD04 R03BA03
flunarizine,N07CA03
fluphenazine,N05AB02
flufenamic acid,M01AG03
fludarabine,L01BB05
flecainide,C01BC04
finasteride,D11AX10 G04CB01
fexofenadine,R06AX26
fentanyl,N01AH01 N02AB03
fenspiride,R03BX01 R03DX03
fenoterol,G02CA03 R03AC04 R03CC04
fenoprofen,M01AE04
fenoldopam,C01CA19
fenofibrate,C10AB05
fendiline,C08EA01
felodipine,C08CA02
felbamate,N03AX10
famotidine,A02BA03
etretinate,D05BB01
etoposide,L01CB01
etodolac,M01AB08
ethylmorphine,R05DA01 S01XA06
ethosuximide,N03AD01
ethopropazine,N04AA05
estrogen,G03CA01 L02AA03
ergotamine,N02CA02
epinastine,R06AX24 S01GX10
enprostil,A02BB02
glycyrrhetinic acid,D03AX10
enflurane,N01AB04
ET-743,L01CX01
ebastine,R06AX22
dyphylline,R03DA01
dydrogesterone,G03DB01
droperidol,N01AX01 N05AD08
doxepin,N06AA12
doxazosin,C02CA04
Ets,S01EC03
donepezil,N06DA02
domperidone,A03FA03
dolasetron,A04AA04
docetaxel,L01CD02
alpha-methyl-p-tyrosine,C02KB01
valproic acid,N03AG01
disulfiram,N07BB01 P03AA04
distigmine bromide,N07AA03
disopyramide,C01BA03
dipyrone,N02BB02
dipyridamole,B01AC07
Vena,R06AA07
diphenhydramine,D04AA32 R06AA02 N04AB01
diltiazem,C08DB01
dilazep,C01DX10
dihydroergotamine,N02CA01 C04AE01
dihydrocodeine,N02AA08
digoxin,C01AA05
digitoxin,C01AA04
diflunisal,N02BA11
diethylstilbestrol,G03CB02 G03CC05 L02AA01
dicyclomine,A03AA07
dichlorphenamide,S01EC02
diclofenac,D11AX18 M01AB05 M02AA15 S01BC03
dibucaine,C05AD04 D04AB02 N01BB06 S01HA06
diazoxide,C02DA01 V03AH01
diazepam,N05BA01
dextromethorphan,R05DA09
amphetamine,N06BA01 N06BA02
desipramine,N06AA01
delta 9-tetrahydrocannabinol,A04AD10
delapril,C09AA12
desferrioxamine,V03AC01
debrisoquine,C02CC04
daunorubicin,L01DB02
dantrolene,M03CA01
danazol,G03XA01
cyproheptadine,R06AX02
cyclothiazide,C03AA09
yohimbine,G04BE04
colchicine,M04AC01
colcemid,L01CC01
codeine,R05DA04
cocaine,N01BC01 R02AD03 S01HA01 S02DA02
clozapine,N05AH02
clopidogrel,B01AC04
clonidine,C02AC01 N02CX02 S01EA04
clonazepam,N03AE01
clomipramine,N06AA04
clomiphene citrate,G03GB02
clofibrate,C10AB01
clenbuterol,R03AC14 R03CC13
clemastine,D04AA14 R06AA04
clebopride,A03FA06
cisapride,A03FA02
ciprofibrate,C10AB08
cinnarizine,N07CA02
cimetidine,A02BA01
cilnidipine,C08CA14
cilazapril,C09AA08
cibenzoline,C01BG07
chlorzoxazone,M03BB03
chlorthalidone,C03BA04
chlorpromazine,N05AA01
chlorpheniramine,R06AB04 R06AB02
chlorothiazide,C03AA04
chlordiazepoxide,N05BA02
chloral hydrate,N05CC01
cetirizine,R06AE07 R06AE09
cerivastatin,C10AA06
celecoxib,L01XX33 M01AH01
carvedilol,C07AG02
carteolol,C07AA15 S01ED05
BCNU,L01AD01
carboquone,L01AC03
carbenoxolone,A02BX01
carbamazepine,N03AF01
carbachol,N07AB01 S01EB02
captopril,C09AA01
capsaicin,N01BX04
candesartan,C09CA06
camphor,C01EB02
camostat mesilate,B02AB04
calcipotriol,D05AX02
verapamil,C08DA01
caffeine,N06BC01
cabergoline,G02CB03 N04BC06
butorphanol,N02AF01
busulfan,L01AB01
buspirone,N05BE01
buprenorphine,N02AE01 N07BC01
looser,C07AA19
bumetanide,C03CA02
budesonide,A07EA06 D07AC09 R01AD05 R03BA02
dibutyryl cyclic AMP,C01CE04
brotizolam,N05CD09
AA-2414,R03DX06
bromperidol,N05AD06
bromocriptine,G02CB01 N04BC01
brimonidine,S01EA05
bisoprolol,C07AB07
biperiden,N04AA02
bicalutamide,L02BB03
bethanechol,N07AB02
betaxolol,C07AB05 S01ED02
betahistine,N07CA01
beraprost sodium,B01AC19
bepridil,C08EA02
benztropine,N04AC01
benzocaine,C05AD03 D04AB04 N01BA05 R02AD01
benzbromarone,M04AB03
PFD,V04CK03
benidipine,C08CA15
bendrofluazide,C03AA01
benazepril,C09AA07
beclomethasone,A07EA07 D07AC15 R01AD01 R03BA01
baclofen,M03BX01
azelastine,R01AC03 R06AX19 S01GX07
azelaic acid,D10AX03
azathioprine,L04AX01
atorvastatin,C10AA05
atenolol,C07AB11 C07AB03
astemizole,R06AX11
aspirin,A01AD05 B01AC06 N02BA01
argatroban,B01AE03
apomorphine,G04BE07 N04BC07
"1,8-dihydroxy-9-anthrone",
antazoline,R01AC04 R06AX05
reset,N06BX11
anastrozole,L02BG03
amsacrine,L01XX01
amlodipine,C08CA01
amlexanox,A01AD07 R03DX01
amitriptyline,N06AA09
amisulpride,N05AL05
amiodarone,C01BD01
aminoglutethimide,L02BG01
iothalamate,V08AA01
ambenonium,N07AA30
amantadine,N04BB01
alprenolol,C07AA01
alprazolam,N05BA12
alosetron,A03AE01
alfuzosin,G04CA01
alendronate,M05BA04
salbutamol,R03AC02 R03CC02
aclarubicin,L01DB04
acetylcarnitine,N06BX12
Hae,G04BX03
acetohexamide,A10BB31
acetazolamide,S01EC01
acetaminophen,N02BE01
aceclidine,S01EB08
acebutolol,C07AB04
THA,N06DA01
phenytoin,N03AB02
25-hydroxyvitamin D,A11CC06
2-chlorodeoxyadenosine,L01BB04
naproxen,G02CC02 M01AE02 M02AA12
D-600,C08DA02
d-tubocurarine,M03AA02
methamphetamine,N06BA03
SCMC,R05CB03
nicotine,N07BA01
levodopa,N04BA01
glycerophosphocholine,N07AX02
fumarate,D05AX01
DTC,B01AA01
glucuronic acid,
cytosine arabinoside,L01BC01
phosphocreatine,C01EB06
ACA,B02AA01
bupropion,N07BA02
salicylate,D01AE12 S01BC08 N02BA12 N02BA04
betaine,A09AB02 A16AA06
leucovorin,V03AF03
6-mercaptopurine,
everolimus,L04AA18
gepirone,N06AX19
entacapone,N04BX02
oxazolidinone,N05BX01
ethacrynic acid,C03CC01
